business_id,sector,revenue_monthly,expenses_monthly,cash_balance,total_debt,accounts_receivable,accounts_payable,operational_incidents,stock_loss_rate,supplier_count,customer_concentration,employee_turnover,fraud_incidents,cash_discrepancies,segregation_of_duties,internal_audit_frequency,compliance_breaches,expired_licenses,missing_documents,tax_compliance_status,insurance_coverage_ratio,business_interruption_cover,liability_cover,debt_to_revenue,expense_ratio,cash_coverage_months,debt_risk_score,expense_risk_score,cash_risk_score,financial_risk_score,incident_risk_score,stock_loss_risk_score,customer_concentration_risk,employee_turnover_risk,supplier_risk_score,operational_risk_score,fraud_incident_risk,cash_discrepancy_risk,segregation_risk,audit_risk,fraud_risk_score,compliance_breach_risk,license_risk,document_risk,tax_risk,compliance_risk_score,insurance_coverage_risk,business_interruption_risk,liability_risk,insurance_risk_score,overall_risk_score,risk_category,max_risk_dimension,risk_category_v2
SME_0001,Professional Services,54823.21,35178.04,1971.95,17513.31,19588.66,1151.42,2,0.012,8,0.28,0.373,0,4,1,3,0,0,1,1,0.945,1,0,0.319450648730711,0.6416632663428501,0.05605627829179795,15.97253243653555,32.08316331714251,94.3943721708202,52.1744575944315,20.0,8.0,28.000000000000004,93.25,50.0,39.85,0.0,40.0,0,25.0,14.25,0.0,0,10.0,0,2.0,5.500000000000005,0,100,32.2,31.98483727832945,MODERATE,52.1744575944315,MODERATE
SME_0002,Transport,32571.45,9388.22,9837.64,26189.08,35209.54,7478.21,3,0.059,6,0.389,0.388,3,3,1,4,1,1,1,0,0.951,1,0,0.8040501727740091,0.28823463493335416,1.0478706293631808,40.20250863870046,14.411731746667709,0.0,16.38427211561045,30.0,39.33333333333333,38.9,97.0,64.28571428571428,53.90380952380952,60.0,30.0,0,0.0,24.0,20.0,100,10.0,100,66.0,4.900000000000004,0,100,31.96,36.28723401563551,MODERATE,66.0,MODERATE
SME_0003,Hospitality,24707.36,47529.8,32998.5,39940.55,40618.52,6404.83,3,0.023,4,0.37,0.05,1,2,1,2,0,0,2,1,0.61,0,0,1.6165446247595858,1.9237101819053108,0.6942697002722502,80.82723123797929,96.18550909526554,30.57302997277498,65.33303408908344,30.0,15.333333333333336,37.0,12.5,78.57142857142857,34.680952380952384,20.0,20.0,0,50.0,22.5,0.0,0,20.0,0,4.0,39.0,100,100,75.6,40.93014832196313,MODERATE,75.6,MODERATE
SME_0004,Professional Services,47275.88,16092.24,15812.19,2466.26,15973.43,5084.81,2,0.057,4,0.913,0.064,0,2,1,4,0,0,4,1,0.333,1,1,0.052167405450728795,0.34039006783163,0.9825972021297222,2.60837027253644,17.0195033915815,1.7402797870277764,6.584474014046493,20.0,38.0,91.3,16.0,78.57142857142857,48.77428571428572,0.0,20.0,0,0.0,4.0,0.0,0,40.0,0,8.0,66.7,0,0,26.680000000000003,18.83691363278538,LOW,48.77428571428572,LOW
SME_0005,Agriculture,19960.75,36644.04,9335.07,2786.44,3861.0,8258.55,1,0.094,9,0.771,0.271,1,1,0,2,0,1,1,1,0.515,0,1,0.13959595706574152,1.8358047668549529,0.2547500221045496,6.979797853287076,91.79023834274764,74.52499778954504,59.44100997462843,10.0,62.66666666666667,77.10000000000001,67.75,42.85714285714286,52.074761904761914,20.0,10.0,100,50.0,45.5,0.0,100,10.0,0,32.0,48.5,100,0,49.400000000000006,49.69099346857901,MODERATE,59.44100997462843,MODERATE
SME_0006,Hospitality,6600.34,32392.63,44317.46,21381.07,17629.4,4354.86,1,0.082,6,0.715,0.217,1,0,1,4,0,0,0,1,0.473,0,1,3.2393891829814825,4.907721420411676,1.3681340477756823,100.0,100.0,0.0,60.0,10.0,54.66666666666667,71.5,54.25,64.28571428571428,50.94047619047619,20.0,0.0,0,0.0,6.0,0.0,0,0.0,0,0.0,52.7,100,0,51.08,37.043119047619044,MODERATE,60.0,MODERATE
SME_0007,Hospitality,24876.32,7840.72,6648.56,24616.78,4573.4,14564.77,1,0.035,8,0.258,0.007,3,2,0,3,1,1,2,1,0.59,0,1,0.9895667847977514,0.315188098561202,0.8479527390341703,49.47833923988757,15.7594049280601,15.204726096582966,25.653213689017488,10.0,23.333333333333336,25.8,1.7499999999999998,50.0,22.17666666666667,60.0,20.0,100,25.0,53.25,20.0,100,20.0,0,38.0,41.0,100,0,46.400000000000006,34.23013077337191,MODERATE,53.25,MODERATE
SME_0008,Professional Services,34514.22,26915.22,4305.47,36245.26,7344.24,23922.1,4,0.052,8,0.873,0.025,2,3,1,0,2,1,2,0,0.522,1,0,1.0501544001284109,0.7798298788151666,0.159964139249094,52.50772000642054,38.99149394075833,84.0035860750906,61.0511986141899,40.0,34.66666666666667,87.3,6.25,50.0,43.64333333333333,40.0,30.0,0,100.0,43.0,40.0,100,20.0,100,72.0,47.8,0,100,49.120000000000005,53.5381929175903,HIGH,72.0,HIGH
SME_0009,Manufacturing,61375.94,23368.56,9330.36,14490.96,14116.71,22137.04,3,0.092,7,0.804,0.355,0,1,1,0,0,0,3,1,0.88,0,1,0.236101638524803,0.38074463706788036,0.3992697881255841,11.80508192624015,19.03723185339402,60.07302118744159,33.281902608866886,30.0,61.33333333333334,80.4,88.75,57.14285714285714,63.5252380952381,0.0,10.0,0,100.0,27.0,0.0,0,30.0,0,6.0,12.0,100,0,34.8,35.645880306469586,MODERATE,63.5252380952381,MODERATE
SME_0010,Agriculture,7892.55,18441.82,17217.2,30285.3,4846.72,10599.28,2,0.129,3,0.239,0.348,0,2,1,3,2,0,4,1,0.302,0,1,3.837200904650588,2.336611107943567,0.9335954911174711,100.0,100.0,6.640450888252891,62.65618035530116,20.0,86.00000000000001,23.9,86.99999999999999,85.71428571428572,60.52285714285715,0.0,20.0,0,25.0,10.25,40.0,0,40.0,0,16.0,69.8,100,0,57.92,44.16956839230463,MODERATE,62.65618035530116,MODERATE
SME_0011,Professional Services,22658.77,16691.08,1435.69,34046.27,3563.79,72546.11,2,0.113,10,0.84,0.143,2,4,0,0,2,0,2,0,0.751,0,0,1.5025647905866026,0.7366278045983962,0.08601540463529023,75.12823952933013,36.831390229919805,91.39845953647098,70.14727274236338,20.0,75.33333333333334,84.0,35.74999999999999,35.71428571428571,50.15952380952382,40.0,40.0,100,100.0,70.0,40.0,0,20.0,100,42.0,24.9,100,100,69.96000000000001,60.88006277508997,HIGH,70.14727274236338,HIGH
SME_0012,Agriculture,23538.39,16804.68,10636.7,14391.52,15207.38,33477.86,3,0.083,1,0.331,0.356,1,2,1,2,0,1,1,1,0.765,1,1,0.6114063026400701,0.7139264835020578,0.6329605800288968,30.570315132003508,35.69632417510289,36.70394199711032,34.561568590976044,30.0,55.333333333333336,33.1,88.99999999999999,100.0,61.486666666666665,20.0,20.0,0,50.0,22.5,0.0,100,10.0,0,32.0,23.5,0,0,9.4,35.980137243959476,MODERATE,61.486666666666665,MODERATE
SME_0013,Agriculture,10359.19,34484.96,17989.47,82653.17,53682.49,10951.8,2,0.054,5,0.169,0.237,2,2,0,3,2,0,3,1,0.762,0,1,7.978729031903073,3.3289243657081293,0.5216613271408753,100.0,100.0,47.83386728591247,79.13354691436498,20.0,36.0,16.900000000000002,59.24999999999999,71.42857142857143,40.715714285714284,40.0,20.0,100,25.0,47.25,40.0,0,30.0,0,14.0,23.799999999999997,100,0,39.519999999999996,49.42099264573807,MODERATE,79.13354691436498,MODERATE
